,type,total_timesteps,num_episodes,episode_timesteps,train_episode_reward,train_episode_timesteps,train_reward,train_predicted_reward,reward_pearsonr,actor_loss,critic_loss,discriminator_loss
0,train,39,1,39,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,train,104,2,65,-7.314,19.500,-0.362,0.665,0.000,-1.990,0.427,1.584
2,train,116,3,12,0.350,34.667,-0.137,0.757,0.000,-2.395,0.300,1.710
3,train,211,4,95,0.094,29.000,-0.122,0.762,0.000,-2.443,0.287,1.720
4,train,306,5,95,-5.035,42.200,-0.126,0.811,0.000,-2.805,0.231,1.775
5,train,493,6,187,-10.725,51.000,-0.156,0.829,0.000,-3.090,0.195,1.804
6,train,530,7,37,-21.011,70.429,-0.208,0.846,0.000,-3.545,0.164,1.826
7,train,695,8,165,-23.610,66.250,-0.217,0.847,0.000,-3.632,0.158,1.829
8,train,717,9,22,-29.612,77.222,-0.256,0.846,0.000,-3.995,0.145,1.836
9,train,757,10,40,-27.899,71.700,-0.260,0.845,0.000,-4.042,0.143,1.837
10,train,816,11,59,-28.852,68.818,-0.267,0.846,0.000,-4.129,0.140,1.838
11,train,856,12,40,-27.649,68.000,-0.276,0.848,0.000,-4.261,0.137,1.841
12,train,880,13,24,-27.629,65.846,-0.283,0.848,0.000,-4.346,0.136,1.842
13,train,898,14,18,-25.983,62.857,-0.286,0.848,0.000,-4.397,0.135,1.842
14,train,968,15,70,-25.317,59.867,-0.289,0.848,0.000,-4.436,0.135,1.842
15,train,1029,16,61,-24.219,60.500,-0.296,0.847,0.000,-4.583,0.134,1.842
16,train,1080,17,51,-24.408,60.529,-0.300,0.848,0.000,-4.709,0.123,1.849
17,train,1095,18,15,-25.601,60.000,-0.317,0.850,0.000,-4.818,0.114,1.854
18,train,1294,19,199,-24.477,57.632,-0.323,0.851,0.000,-4.851,0.114,1.855
19,train,1368,20,74,-27.260,64.700,-0.378,0.825,0.000,-5.249,0.110,1.838
20,train,1440,21,72,-27.179,65.143,-0.387,0.806,0.000,-5.388,0.108,1.827
21,train,1462,22,22,-27.783,65.455,-0.395,0.780,0.000,-5.517,0.117,1.818
22,train,1684,23,222,-27.333,63.565,-0.398,0.774,0.000,-5.558,0.120,1.814
23,train,1724,24,40,-30.119,70.167,-0.411,0.725,0.000,-5.972,0.132,1.782
24,train,1738,25,14,-29.923,68.960,-0.413,0.716,0.000,-6.047,0.134,1.776
25,train,1791,26,53,-29.066,66.846,-0.413,0.713,0.000,-6.072,0.135,1.775
26,train,1837,27,46,-28.909,66.333,-0.414,0.699,0.000,-6.172,0.137,1.766
27,train,1879,28,42,-28.502,65.607,-0.414,0.687,0.000,-6.257,0.140,1.758
28,train,2879,29,1000,-28.902,64.793,-0.415,0.675,0.000,-6.333,0.142,1.751
29,train,2912,30,33,-44.127,95.967,-0.451,0.615,0.000,-9.596,0.181,1.684
30,train,2937,31,25,-43.292,93.935,-0.451,0.613,0.000,-9.706,0.174,1.682
31,train,3074,32,137,-42.150,91.781,-0.451,0.612,0.000,-9.792,0.171,1.682
32,train,4074,33,1000,-41.538,93.152,-0.452,0.586,0.000,-10.237,0.174,1.679
33,train,4101,34,27,-57.584,119.824,-0.474,0.529,0.000,-13.318,0.280,1.669
34,train,4159,35,58,-55.583,117.171,-0.474,0.531,0.000,-13.410,0.272,1.671
35,train,4191,36,32,-54.747,115.528,-0.474,0.530,0.000,-13.596,0.257,1.671
36,train,5191,37,1000,-54.293,113.270,-0.474,0.530,0.000,-13.699,0.252,1.670
37,train,5191,37,1000,-54.293,113.270,-0.501,0.534,0.000,-16.648,0.350,1.637
38,train,5256,38,65,-598.952,1000.000,-0.501,0.534,0.000,-16.648,0.350,1.637
