,type,total_timesteps,num_episodes,episode_timesteps,train_episode_reward,train_episode_timesteps,train_reward,train_predicted_reward,reward_pearsonr,actor_loss,critic_loss,discriminator_loss
68,train,8273,68,19,-80.704,173.263,-0.437,0.351,0.000,-24.385,0.513,1.533
69,train,8372,69,99,-77.802,165.550,-0.436,0.350,0.000,-24.433,0.516,1.533
70,train,8439,70,67,-74.737,162.381,-0.435,0.348,0.000,-24.664,0.525,1.530
71,train,8470,71,31,-72.521,158.045,-0.434,0.351,0.000,-24.826,0.534,1.530
72,train,8498,72,28,-70.068,152.522,-0.435,0.350,0.000,-24.903,0.539,1.530
73,train,8520,73,22,-67.852,147.333,-0.434,0.350,0.000,-24.970,0.540,1.529
74,train,8565,74,45,-65.494,142.320,-0.434,0.350,0.000,-25.021,0.543,1.528
75,train,8594,75,29,-63.253,138.577,-0.433,0.348,0.000,-25.129,0.548,1.526
76,train,8609,76,15,-60.941,134.519,-0.434,0.348,0.000,-25.200,0.554,1.525
77,train,8627,77,18,-58.763,130.250,-0.433,0.348,0.000,-25.239,0.557,1.525
78,train,8708,78,81,-57.176,126.379,-0.433,0.348,0.000,-25.282,0.562,1.524
79,train,8756,79,48,-55.572,124.867,-0.431,0.352,0.000,-25.480,0.581,1.526
80,train,8803,80,47,-53.821,122.387,-0.430,0.354,0.000,-25.605,0.591,1.527
81,train,8859,81,56,-53.787,120.031,-0.429,0.355,0.000,-25.724,0.602,1.527
82,train,8896,82,37,-53.262,118.091,-0.429,0.355,0.000,-25.865,0.610,1.525
83,train,8920,83,24,-51.608,115.706,-0.429,0.355,0.000,-25.961,0.611,1.524
84,train,8984,84,64,-50.361,113.086,-0.429,0.355,0.000,-26.021,0.612,1.524
85,train,9038,85,54,-48.886,111.722,-0.429,0.354,0.000,-26.182,0.621,1.521
86,train,9194,86,156,-47.794,110.162,-0.430,0.355,0.000,-26.317,0.627,1.521
87,train,9262,87,68,-48.215,111.368,-0.427,0.353,0.000,-26.715,0.643,1.520
88,train,9335,88,73,-47.625,110.256,-0.427,0.354,0.000,-26.886,0.646,1.521
89,train,9430,89,95,-46.888,109.325,-0.426,0.361,0.000,-27.076,0.655,1.526
90,train,10430,90,1000,-46.723,108.976,-0.425,0.362,0.000,-27.319,0.662,1.529
91,train,10430,90,1000,-46.723,108.976,-0.365,0.399,0.000,-29.699,0.728,1.525
92,train,10520,91,90,113.083,1000.000,-0.365,0.399,0.000,-29.699,0.728,1.525
93,train,10575,92,55,80.717,545.000,-0.366,0.400,0.000,-29.908,0.701,1.523
94,train,10602,93,27,83.468,381.667,-0.366,0.398,0.000,-30.037,0.687,1.522
95,train,11602,94,1000,71.303,293.000,-0.366,0.397,0.000,-30.099,0.682,1.521
96,train,12602,95,1000,217.014,434.400,-0.252,0.357,0.000,-32.284,0.676,1.503
97,train,13602,96,1000,295.901,528.667,-0.173,0.338,0.000,-34.322,0.664,1.482
98,train,13640,97,38,348.186,596.000,-0.108,0.393,0.000,-36.253,0.697,1.489
99,train,14388,98,748,309.182,526.250,-0.109,0.390,0.000,-36.331,0.695,1.488
100,train,15388,99,1000,344.186,550.889,-0.072,0.366,0.000,-37.708,0.709,1.473
101,train,15388,99,1000,344.186,550.889,-0.015,0.360,0.000,-39.474,0.725,1.475
102,train,15415,100,27,718.082,1000.000,-0.015,0.360,0.000,-39.474,0.725,1.475
103,train,15524,101,109,368.786,513.500,-0.014,0.360,0.000,-39.523,0.723,1.475
104,train,16000,102,476,271.828,378.667,-0.014,0.356,0.000,-39.706,0.715,1.473
105,train,16024,103,24,324.467,403.000,0.006,0.341,0.000,-40.580,0.715,1.472
106,train,16038,104,14,264.211,327.200,0.007,0.342,0.000,-40.624,0.715,1.471
107,train,16511,105,473,223.140,275.000,0.007,0.342,0.000,-40.651,0.714,1.471
108,train,17511,106,1000,225.136,303.286,0.033,0.358,0.000,-41.518,0.753,1.464
109,train,18110,107,599,296.397,390.375,0.079,0.348,0.000,-43.406,0.786,1.476
110,train,19110,108,1000,309.254,413.556,0.092,0.389,0.000,-44.500,0.781,1.471
111,train,19132,109,22,339.328,472.200,0.125,0.395,0.000,-46.270,0.773,1.472
112,train,19216,110,84,311.096,431.273,0.125,0.395,0.000,-46.311,0.771,1.470
113,train,20216,111,1000,295.107,402.333,0.127,0.391,0.000,-46.457,0.772,1.466
114,train,20216,111,1000,295.107,402.333,0.158,0.378,0.000,-48.061,0.781,1.457
115,train,20277,112,61,588.681,1000.000,0.158,0.378,0.000,-48.061,0.781,1.457
116,train,20479,113,202,343.257,530.500,0.159,0.379,0.000,-48.160,0.783,1.459
117,train,21479,114,1000,289.167,421.000,0.162,0.386,0.000,-48.487,0.794,1.454
118,train,21572,115,93,385.307,565.750,0.192,0.366,0.000,-49.994,0.818,1.453
119,train,21611,116,39,333.604,471.200,0.190,0.361,0.000,-50.141,0.823,1.450
120,train,21632,117,21,285.135,399.167,0.190,0.361,0.000,-50.206,0.823,1.448
121,train,22632,118,1000,247.651,345.143,0.189,0.361,0.000,-50.245,0.823,1.448
122,train,22781,119,149,298.635,427.000,0.222,0.383,0.000,-51.790,0.817,1.453
123,train,23008,120,227,282.154,396.111,0.222,0.378,0.000,-52.033,0.811,1.453
124,train,23342,121,334,281.555,379.200,0.225,0.363,0.000,-52.405,0.806,1.448
125,train,23969,122,627,288.477,375.091,0.234,0.353,0.000,-52.949,0.818,1.443
126,train,24003,123,34,310.058,396.083,0.257,0.359,0.000,-54.018,0.867,1.447
127,train,24372,124,369,288.205,368.231,0.256,0.359,0.000,-54.071,0.875,1.446
128,train,24393,125,21,294.402,368.286,0.266,0.370,0.000,-54.714,0.901,1.441
129,train,24417,126,24,276.428,345.133,0.267,0.370,0.000,-54.755,0.897,1.440
130,train,24516,127,99,260.860,325.062,0.267,0.371,0.000,-54.796,0.896,1.441
131,train,25516,128,1000,251.577,311.765,0.269,0.372,0.000,-54.970,0.891,1.442
132,train,25516,128,1000,251.577,311.765,0.298,0.319,0.000,-56.533,0.939,1.435
133,train,25752,129,236,663.130,1000.000,0.298,0.319,0.000,-56.533,0.939,1.435
134,train,25892,130,140,392.012,618.000,0.298,0.321,0.000,-56.870,0.938,1.422
135,train,26098,131,206,314.867,458.667,0.299,0.327,0.000,-57.072,0.945,1.423
136,train,26208,132,110,276.552,395.500,0.306,0.337,0.000,-57.379,0.949,1.422
137,train,26216,133,8,238.558,338.400,0.308,0.344,0.000,-57.540,0.961,1.424
138,train,26235,134,19,198.781,283.333,0.309,0.344,0.000,-57.551,0.962,1.425
139,train,27235,135,1000,174.795,245.571,0.308,0.344,0.000,-57.578,0.967,1.425
140,train,27266,136,31,241.920,339.875,0.327,0.386,0.000,-59.023,0.968,1.437
141,train,27307,137,41,215.826,305.556,0.327,0.384,0.000,-59.069,0.966,1.439
142,train,27347,138,40,196.688,279.100,0.326,0.384,0.000,-59.130,0.967,1.439
143,train,27408,139,61,182.798,257.364,0.326,0.384,0.000,-59.194,0.966,1.436
144,train,27770,140,362,172.203,241.000,0.326,0.383,0.000,-59.288,0.969,1.437
145,train,27787,141,17,169.436,250.308,0.325,0.378,0.000,-59.841,0.977,1.431
146,train,27917,142,130,158.769,233.643,0.325,0.377,0.000,-59.865,0.978,1.431
147,train,28153,143,236,151.217,226.733,0.327,0.377,0.000,-60.058,0.988,1.426
148,train,28241,144,88,156.956,227.312,0.327,0.366,0.000,-60.391,0.997,1.425
149,train,28262,145,21,156.201,219.118,0.326,0.364,0.000,-60.515,1.002,1.424
150,train,28309,146,47,148.427,208.111,0.327,0.365,0.000,-60.550,1.002,1.422
151,train,29309,147,1000,143.840,199.632,0.328,0.365,0.000,-60.623,1.003,1.423
152,train,29444,148,135,161.875,239.650,0.341,0.359,0.000,-61.966,0.982,1.434
153,train,29459,149,15,161.025,234.667,0.340,0.359,0.000,-62.140,0.971,1.430
154,train,29478,150,19,154.270,224.682,0.340,0.359,0.000,-62.167,0.969,1.429
155,train,29593,151,115,148.648,215.739,0.340,0.359,0.000,-62.192,0.969,1.429
156,train,29655,152,62,145.572,211.542,0.342,0.361,0.000,-62.354,0.958,1.426
157,train,29895,153,240,142.968,205.560,0.343,0.366,0.000,-62.436,0.963,1.423
158,train,30085,154,190,148.988,206.885,0.350,0.358,0.000,-62.754,0.966,1.420
159,train,30085,154,190,148.988,206.885,0.353,0.357,0.000,-63.002,0.973,1.418
160,train,30913,155,828,130.121,190.000,0.353,0.357,0.000,-63.002,0.973,1.418
161,train,31653,156,740,533.598,509.000,0.377,0.351,0.000,-64.160,1.012,1.420
162,train,31849,157,196,635.577,586.000,0.395,0.382,0.000,-65.253,0.996,1.421
163,train,32037,158,188,531.518,488.500,0.398,0.389,0.000,-65.531,0.999,1.427
164,train,32075,159,38,454.359,428.400,0.402,0.386,0.000,-65.799,0.985,1.429
165,train,32117,160,42,385.820,363.333,0.403,0.384,0.000,-65.859,0.981,1.429
166,train,32160,161,43,343.662,317.429,0.404,0.384,0.000,-65.920,0.982,1.427
167,train,32298,162,138,310.329,283.125,0.405,0.385,0.000,-65.981,0.981,1.427
168,train,32321,163,23,298.023,267.000,0.406,0.386,0.000,-66.168,0.989,1.429
169,train,32392,164,71,270.889,242.600,0.406,0.385,0.000,-66.203,0.992,1.429
170,train,32553,165,161,253.848,227.000,0.408,0.384,0.000,-66.309,0.996,1.428
171,train,32777,166,224,247.186,221.500,0.410,0.379,0.000,-66.548,1.006,1.429
172,train,33343,167,566,248.294,221.692,0.412,0.374,0.000,-66.862,1.009,1.428
173,train,33372,168,29,272.493,246.286,0.427,0.364,0.000,-67.598,1.004,1.432
174,train,33604,169,232,256.049,231.800,0.428,0.364,0.000,-67.639,1.003,1.432
175,train,33709,170,105,254.627,231.812,0.431,0.368,0.000,-67.936,0.998,1.426
176,train,33751,171,42,247.708,224.353,0.434,0.366,0.000,-68.072,0.996,1.426
177,train,33815,172,64,236.672,214.222,0.435,0.366,0.000,-68.128,0.987,1.427
178,train,33920,173,105,228.124,206.316,0.437,0.366,0.000,-68.217,0.987,1.426
179,train,33934,174,14,225.231,201.250,0.439,0.368,0.000,-68.355,0.986,1.424
180,train,33980,175,46,215.066,192.333,0.439,0.368,0.000,-68.370,0.985,1.425
181,train,34013,176,33,207.870,185.682,0.439,0.368,0.000,-68.431,0.988,1.424
182,train,34125,177,112,200.725,179.043,0.439,0.369,0.000,-68.474,0.987,1.426
